,recordingDate,animalID,recordingID,x-coordinate,y-coordinate,z-coordinate,blockType,calciumImaging,pupilImaging,statImaging,dataQuality,stimuliFamiliarity,rawfilepath,Z:\Data\2022-04-21
,2022-04-07,22101,001,-323,-110.05,249.98,block2 (PAQ + pupil),1,1,1,0,0,,
,2022-04-07,22101,002,-141.49,-731.59,250.57,block2 (PAQ + pupil),1,1,1,0,0,,
,2022-04-07,22101,003,-146.57,-1224.35,250.67,block2 (PAQ + pupil),1,1,1,0,0,,
,2022-04-07,22101,004,-138.79,-1769.03,250.9,block2 (PAQ + pupil),1,1,1,0,0,,
,2022-04-07,22101,005,-91.47,-2140.62,194.35,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-07,22101,006,-584.54,-2128.71,251.1,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-07,22101,007,-584.54,-1565.45,249.75,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-07,22101,008,-584.23,-494.5,199.75,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-07,22101,009,-549.61,-170.87,249.73,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-08,22102,001,-221.21,-39.7,200.6,block2 (PAQ + pupil),1,1,1,0,0,,
,2022-04-08,22102,002,-221.21,-547.86,201,block2 (PAQ + pupil),1,1,1,0,0,,
,2022-04-08,22102,003,-221.21,-1224.35,175.67,block2 (PAQ + pupil),1,1,1,0,0,,
,2022-04-08,22102,004,-460.68,-1782.21,201.9,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-08,22102,005,-110.21,-1865.58,227.05,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-08,22102,006,-792.41,-1785.86,227.05,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-08,22102,007,-746.52,-1432.22,206.8,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-08,22102,008,-746.52,-721.11,206.8,block2 (PAQ + pupil),1,1,1,0,0,,
,2022-04-08,22102,009,-642.03,-214.38,206.75,block2 (PAQ + pupil),1,1,1,0,0,,
,2022-04-12,22103,001,0,0,207.55,block2 (PAQ + pupil),1,1,1,0,0,,
,2022-04-12,22103,002,-148,-510.54,218.93,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-12,22103,003,-148,-1687.25,218.93,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-12,22103,004,-358.73,-2619.72,248.93,block2 (PAQ + pupil),1,1,1,0,0,,
,2022-04-12,22103,005,-358.73,-2619.72,199.93,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-12,22103,006,-177.54,-3197.76,199.93,block2 (PAQ + pupil),1,1,1,0,0,,
,2022-04-12,22103,007,-177.54,-3197.76,99.93,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-12,22103,008,-177.54,-3557.91,99.93,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-12,22107,001,0,0,206.05,block2 (PAQ + pupil),1,1,1,0,0,,
,2022-04-12,22107,002,0,1062,206.05,block2 (PAQ + pupil),1,1,1,0,0,,
,2022-04-12,22107,003,0,-1062,172.93,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-12,22107,004,0,-1587.68,179.32,block2 (PAQ + pupil),1,1,1,0,0,,
,2022-04-12,22107,005,-58.12,-2088.06,250.53,block2 (PAQ + pupil),1,1,1,0,0,,
,2022-04-12,22107,006,-61.46,-1563.54,251.65,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-12,22107,007,-496.73,-1455.72,229.75,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-12,22107,008,-177.54,-3557.91,99.93,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-12,22107,009,-432.54,-1152,215.15,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-12,22107,010,-112.54,-52.4,215.15,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-12,22107,011,-732.54,-52.4,215.15,block2 (PAQ + pupil),1,1,0,0,0,,
,2022-04-16,22101,001,-155.47,-89.72,199.93,"{'block2'}, {'PAQ + pupil'};",1,1,1,0,0,,
,2022-04-16,22101,002,-155.27,-762.72,199.93,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-16,22101,003,-155.47,-1239.43,170.2,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-16,22101,004,-188.23,-1754.58,200.23,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-16,22101,005,-239.95,-2116.33,205.87,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-16,22101,006,-568.5,-2036.29,212.87,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-16,22101,007,-568.5,-1544.29,212.87,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-16,22101,008,-1173.5,-1544.29,212.87,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-16,22101,009,-1065.23,-1162.89,212.87,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-16,22101,010,-334.43,-720.32,212.87,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-16,22101,011,-347.93,-132.92,212.87,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-16,22101,8,-433.21,-571.52,212.87,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-16,22102,001,0,0,199.93,"{'block2'}, {'PAQ + pupil'};",1,1,1,0,0,,
,2022-04-16,22102,002,-111.48,-429.87,216.68,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-16,22102,003,-111.48,-429.87,175.8,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-16,22102,004,-271.39,-605.5,199.95,"{'block2'}, {'PAQ + pupil'};",1,1,1,0,0,,
,2022-04-16,22102,005,-91.15,-1291.04,174.93,"{'block2'}, {'PAQ + pupil'};",1,1,1,0,0,,
,2022-04-16,22102,006,-91.15,-1291.04,226.43,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-17,22102,001,0,0,175.7,"{'block2'}, {'PAQ + pupil'};",1,1,1,1,0,,
,2022-04-17,22102,002,-169.28,-250.75,184.15,"{'block2'}, {'PAQ + pupil'};",1,1,1,1,0,,
,2022-04-17,22102,003,-72.25,-525.95,193.23,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-17,22102,004,-72.25,-1370.76,193.23,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-17,22102,005,-135.62,-1928.94,193.23,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-17,22102,006,-141.97,-2907.95,193.23,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-17,22102,007,-141.97,-3415.95,166.32,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-17,22102,008,-141.97,-3990.64,166.32,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-17,22102,009,-720,-4140.71,166.32,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-17,22102,010,-1566.56,-3717.98,166.32,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-17,22102,011,-1898.93,-2004.06,150.28,"{'block2'}, {'PAQ + pupil'};",1,1,1,1,0,,
,2022-04-17,22102,012,-275.36,-110.21,150.03,"{'block2'}, {'PAQ + pupil'};",1,1,1,1,0,,
,2022-04-17,22102,013,-351.11,-538.65,150.28,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-17,22102,014,-931.04,-609.32,150.28,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-17,22102,015,-627.74,-608.32,179.15,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-17,22102,016,-456.23,-1486.84,165.23,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-18,22103,1,-169.44,-134.5,193.48,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-18,22103,2,-169.28,-612.65,175.2,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-18,22103,3,-169.44,-1682.49,174.57,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-18,22103,4,-296.32,-2566.37,174.57,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-18,22103,5,-296.32,-3128.52,174.57,"{'block2'}, {'PAQ + pupil'};",1,1,1,0,0,,
,2022-04-18,22103,6,-400.65,-3563.95,203.7,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-18,22103,7,-764.15,-3649.86,162.57,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-18,22103,8,-1422.21,-2979.25,189.05,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-18,22103,9,-2221.77,-2345.63,153.9,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-18,22103,10,-1964.51,-2804.57,153.9,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-18,22103,11,-1145.11,-2081.07,153.87,"{'block2'}, {'PAQ'};",1,0,0,0,0,,
,2022-04-18,22107,1,-181.19,0,149.95,"{'block2'}, {'PAQ + pupil'};",1,1,1,0,0,,
,2022-04-18,22107,2,-181.19,-2028.03,150.98,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-18,22107,3,-180.71,-1404.9,150.98,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-18,22107,4,-107.83,-745.09,150.98,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-18,22107,5,-215.49,-128.63,184.35,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-18,22107,6,-428.76,-112.59,126.62,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-18,22107,7,-428.76,-596.93,126.62,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-20,22018,1,-105.76,-1814.13,149.95,"{'block2'}, {'PAQ + pupil'};",1,1,1,0,0,,
,2022-04-20,22018,2,-105.76,-1290.57,149.95,"{'block2'}, {'PAQ + pupil'};",1,1,1,0,0,,
,2022-04-20,22018,3,-1199.1,-1019.65,133.3,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-20,22018,4,-1106.36,-549.92,133.3,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-20,22018,5,-221.68,-323.16,163.95,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-20,22018,7,-357.78,-70.98,171.93,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-20,22018,8,-357.78,-534.84,171.93,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-20,22018,9,-357.78,-974.84,157,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-20,22018,10,-154.51,-742.23,169.25,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-20,22018,11,-179.76,-435.11,137.57,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-20,22018,12,-994.41,-514.83,137.57,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-20,22018,13,-1231.81,-742.23,179.85,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-20,22018,14,-826.57,-433.05,158.35,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-20,22018,15,-1831.28,-1732.19,158.68,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-20,22018,16,-2012,-2546.83,158.68,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-20,22018,17,-1986.59,-2910.49,192.4,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-20,22018,18,-576.92,-3224.59,198.8,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-20,22018,19,-741.6,-3782.77,182.05,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-20,22105,1,443.53,-1781.14,150.03,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-20,22105,2,512.92,-1233.75,149.8,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-20,22105,3,310.93,-1707.96,178.25,"{'block2'}, {'PAQ + pupil'};",1,1,0,0,0,,
,2022-04-21,22106,1,127.2,-180.08,180.28,"{'block2'}, {'PAQ + pupil'};",1,1,1,1,0,,
,2022-04-21,22106,2,131.01,-1014.89,176.32,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-21,22106,3,104.17,-1381.72,142.57,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-21,22106,4,-171.19,-1869.39,142.57,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-21,22106,5,-171.19,-2239.89,142.57,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-21,22106,6,-171.19,-2769.39,142.57,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-21,22106,7,597.09,-123.23,185.32,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-21,22106,8,258.05,-303.94,206.9,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-04-21,22106,9,572.32,-303.94,152.1,"{'block2'}, {'PAQ + pupil'};",1,1,0,1,0,,
,2022-05-06,22101,2,-146.25,-85.12,187.23,"{'block3'}, {'PAQ + pupil'};",1,1,0,1,1,,
,2022-05-06,22101,3,-298.07,-275.52,164.23,"{'block3'}, {'PAQ + pupil'};",1,1,0,1,1,,
,2022-05-06,22101,4,-298.07,-836.88,164.23,"{'block3'}, {'PAQ + pupil'};",1,1,0,1,1,,
,2022-05-06,22101,5,-298.07,-836.88,198.34,"{'block3'}, {'PAQ + pupil'};",1,1,0,1,1,,
,2022-05-06,22101,6,-512.77,-586.13,179.6,"{'block3'}, {'PAQ + pupil'};",1,1,0,1,1,,
,2022-05-06,22105,2,0,-1000.04,181.85,"{'block3'}, {'PAQ + pupil'};",1,1,0,1,1,,
,2022-05-06,22105,3,330.78,-600.02,132.15,"{'block3'}, {'PAQ + pupil'};",1,1,0,1,1,,
,2022-05-06,22105,4,330.78,-1157.37,154.82,"{'block3'}, {'PAQ + pupil'};",1,1,0,1,1,,
,2022-05-06,22107,2,-55,-61.61,146.9,"{'block3'}, {'PAQ + pupil'};",1,1,0,1,1,,
,2022-05-06,22107,3,-191.35,-133.71,177.45,"{'block3'}, {'PAQ + pupil'};",1,1,0,1,1,,
,2022-05-07,22107,2,-82.89,-78.29,197.8,"{'block3'}, {'PAQ + pupil'}; ",1,1,0,0,1,,
,2022-05-07,22107,3,-322.21,-678.71,181.18,"{'block3'}, {'PAQ + pupil'}; ",1,1,0,0,1,,
,2022-05-07,22107,4,-409.07,-416.06,140.3,"{'block3'}, {'PAQ + pupil'};",1,1,0,1,1,,
,2022-05-07,22107,5,-348.41,-722.38,175.68,"{'block3'}, {'PAQ + pupil'};",1,1,0,1,1,,
,2022-05-07,22107,6,-512.77,-586.13,179.6,"{'block3'}, {'PAQ + pupil'};",1,1,0,1,1,,
